,inning,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,x,y,z,extras,wicket,wicket_method
131,1,6513,29264,Damien Martyn,Harbhajan Singh,19.6,0.0,1.0,0.0,0.0,0.0,1.0,,
132,1,6513,34105,Damien Martyn,Javagal Srinath,20.1,0.0,0.0,0.0,0.0,0.0,0.0,,
133,1,6513,34105,Damien Martyn,Javagal Srinath,20.2,0.0,0.0,0.0,0.0,0.0,0.0,,
134,1,6513,34105,Damien Martyn,Javagal Srinath,20.3,1.0,1.0,114.0,184.0,6.0,0.0,,
135,1,7133,34105,Ricky Ponting,Javagal Srinath,20.4,1.0,1.0,229.0,181.0,3.0,0.0,,
136,1,6513,34105,Damien Martyn,Javagal Srinath,20.5,0.0,0.0,0.0,0.0,0.0,0.0,,
137,1,6513,34105,Damien Martyn,Javagal Srinath,20.6,4.0,4.0,35.0,102.0,7.0,0.0,,
138,1,7133,29264,Ricky Ponting,Harbhajan Singh,21.1,0.0,0.0,0.0,0.0,0.0,0.0,,
139,1,7133,29264,Ricky Ponting,Harbhajan Singh,21.2,2.0,2.0,230.0,47.0,1.0,0.0,,
140,1,7133,29264,Ricky Ponting,Harbhajan Singh,21.3,2.0,2.0,264.0,108.0,2.0,0.0,,
141,1,7133,29264,Ricky Ponting,Harbhajan Singh,21.4,1.0,1.0,276.0,100.0,2.0,0.0,,
142,1,6513,29264,Damien Martyn,Harbhajan Singh,21.5,0.0,0.0,0.0,0.0,0.0,0.0,,
143,1,6513,29264,Damien Martyn,Harbhajan Singh,21.6,0.0,0.0,0.0,0.0,0.0,0.0,,
144,1,7133,34105,Ricky Ponting,Javagal Srinath,22.1,1.0,1.0,230.0,161.0,2.0,0.0,,
145,1,6513,34105,Damien Martyn,Javagal Srinath,22.2,1.0,1.0,228.0,71.0,1.0,0.0,,
146,1,7133,34105,Ricky Ponting,Javagal Srinath,22.3,0.0,0.0,0.0,0.0,0.0,0.0,,
147,1,7133,34105,Ricky Ponting,Javagal Srinath,22.4,0.0,0.0,0.0,0.0,0.0,0.0,,
148,1,7133,34105,Ricky Ponting,Javagal Srinath,22.5,4.0,4.0,315.0,97.0,2.0,0.0,,
149,1,7133,34105,Ricky Ponting,Javagal Srinath,22.6,1.0,1.0,76.0,191.0,6.0,0.0,,
150,1,7133,35263,Ricky Ponting,Virender Sehwag,23.1,0.0,0.0,0.0,0.0,0.0,0.0,,
151,1,7133,35263,Ricky Ponting,Virender Sehwag,23.2,0.0,0.0,0.0,0.0,0.0,0.0,,
152,1,7133,35263,Ricky Ponting,Virender Sehwag,23.3,0.0,0.0,0.0,0.0,0.0,0.0,,
153,1,7133,35263,Ricky Ponting,Virender Sehwag,23.4,0.0,0.0,0.0,0.0,0.0,0.0,,
154,1,7133,35263,Ricky Ponting,Virender Sehwag,23.5,1.0,1.0,115.0,120.0,7.0,0.0,,
155,1,6513,35263,Damien Martyn,Virender Sehwag,23.6,1.0,1.0,272.0,106.0,2.0,0.0,,
156,1,6513,35320,Damien Martyn,Sachin Tendulkar,24.1,4.0,4.0,121.0,29.0,8.0,0.0,,
157,1,6513,35320,Damien Martyn,Sachin Tendulkar,24.2,1.0,1.0,240.0,188.0,3.0,0.0,,
158,1,7133,35320,Ricky Ponting,Sachin Tendulkar,24.3,1.0,1.0,137.0,274.0,5.0,0.0,,
159,1,6513,35320,Damien Martyn,Sachin Tendulkar,24.4,1.0,1.0,222.0,280.0,4.0,0.0,,
160,1,7133,35320,Ricky Ponting,Sachin Tendulkar,24.5,0.0,1.0,0.0,0.0,0.0,1.0,,
161,1,7133,35320,Ricky Ponting,Sachin Tendulkar,24.5,1.0,1.0,228.0,261.0,4.0,0.0,,
162,1,6513,35320,Damien Martyn,Sachin Tendulkar,24.6,0.0,0.0,0.0,0.0,0.0,0.0,,
163,1,7133,35263,Ricky Ponting,Virender Sehwag,25.1,1.0,1.0,248.0,270.0,4.0,0.0,,
164,1,6513,35263,Damien Martyn,Virender Sehwag,25.2,1.0,1.0,103.0,114.0,7.0,0.0,,
165,1,7133,35263,Ricky Ponting,Virender Sehwag,25.3,1.0,1.0,234.0,249.0,4.0,0.0,,
166,1,6513,35263,Damien Martyn,Virender Sehwag,25.4,2.0,2.0,69.0,85.0,7.0,0.0,,
167,1,6513,35263,Damien Martyn,Virender Sehwag,25.5,1.0,1.0,274.0,180.0,3.0,0.0,,
168,1,7133,35263,Ricky Ponting,Virender Sehwag,25.6,1.0,1.0,250.0,77.0,1.0,0.0,,
